date,region,blood_group,demand_units,is_festival,weekday,month,accident_risk_index,hospital_load
2022-01-01,Coimbatore,O+,9,0,5,1,0.84,0
2022-01-01,Coimbatore,O-,9,0,5,1,0.93,0
2022-01-01,Coimbatore,A+,3,0,5,1,0.82,2
2022-01-01,Coimbatore,A-,7,0,5,1,1.35,2
2022-01-01,Coimbatore,B+,10,0,5,1,1.46,1
2022-01-01,Coimbatore,B-,9,0,5,1,1.15,2
2022-01-01,Coimbatore,AB+,7,0,5,1,0.95,1
2022-01-01,Coimbatore,AB-,5,0,5,1,1.45,2
2022-01-01,Chennai,O+,5,0,5,1,1.03,0
2022-01-01,Chennai,O-,9,0,5,1,1.36,0
2022-01-01,Chennai,A+,1,0,5,1,1.08,2
2022-01-01,Chennai,A-,10,0,5,1,1.4,1
2022-01-01,Chennai,B+,9,0,5,1,1.19,2
2022-01-01,Chennai,B-,12,0,5,1,0.82,0
2022-01-01,Chennai,AB+,9,0,5,1,1.22,2
2022-01-01,Chennai,AB-,5,0,5,1,0.91,1
2022-01-01,Madurai,O+,7,0,5,1,1.09,1
2022-01-01,Madurai,O-,9,0,5,1,1.1,0
2022-01-01,Madurai,A+,1,0,5,1,1.16,0
2022-01-01,Madurai,A-,7,0,5,1,0.95,0
2022-01-01,Madurai,B+,3,0,5,1,0.97,2
2022-01-01,Madurai,B-,5,0,5,1,1.23,1
2022-01-01,Madurai,AB+,3,0,5,1,1.24,1
2022-01-01,Madurai,AB-,10,0,5,1,1.31,0
2022-01-01,Trichy,O+,9,0,5,1,0.93,0
2022-01-01,Trichy,O-,10,0,5,1,1.46,2
2022-01-01,Trichy,A+,5,0,5,1,1.45,1
2022-01-01,Trichy,A-,9,0,5,1,1.5,1
2022-01-01,Trichy,B+,18,0,5,1,0.91,1
2022-01-01,Trichy,B-,12,0,5,1,1.11,0
2022-01-01,Trichy,AB+,9,0,5,1,1.39,0
2022-01-01,Trichy,AB-,12,0,5,1,1.43,2
2022-01-01,Salem,O+,10,0,5,1,0.82,0
2022-01-01,Salem,O-,5,0,5,1,1.42,0
2022-01-01,Salem,A+,10,0,5,1,0.93,0
2022-01-01,Salem,A-,10,0,5,1,1.23,1
2022-01-01,Salem,B+,9,0,5,1,1.3,2
2022-01-01,Salem,B-,21,0,5,1,1.06,1
2022-01-01,Salem,AB+,12,0,5,1,0.83,2
2022-01-01,Salem,AB-,7,0,5,1,1.24,1
2022-01-02,Coimbatore,O+,9,0,6,1,1.16,1
2022-01-02,Coimbatore,O-,5,0,6,1,0.98,1
2022-01-02,Coimbatore,A+,9,0,6,1,0.98,1
2022-01-02,Coimbatore,A-,7,0,6,1,1.26,0
2022-01-02,Coimbatore,B+,9,0,6,1,0.88,0
2022-01-02,Coimbatore,B-,5,0,6,1,0.81,1
2022-01-02,Coimbatore,AB+,9,0,6,1,1.24,1
2022-01-02,Coimbatore,AB-,1,0,6,1,1.45,0
2022-01-02,Chennai,O+,18,0,6,1,1.37,2
2022-01-02,Chennai,O-,9,0,6,1,0.87,1
2022-01-02,Chennai,A+,5,0,6,1,1.07,1
2022-01-02,Chennai,A-,3,0,6,1,0.88,0
2022-01-02,Chennai,B+,5,0,6,1,1.48,1
2022-01-02,Chennai,B-,9,0,6,1,1.21,2
2022-01-02,Chennai,AB+,16,0,6,1,1.43,0
2022-01-02,Chennai,AB-,10,0,6,1,1.15,0
2022-01-02,Madurai,O+,5,0,6,1,1.46,0
2022-01-02,Madurai,O-,7,0,6,1,1.32,0
2022-01-02,Madurai,A+,3,0,6,1,1.33,0
2022-01-02,Madurai,A-,3,0,6,1,0.85,1
2022-01-02,Madurai,B+,12,0,6,1,1.44,0
2022-01-02,Madurai,B-,9,0,6,1,1.43,2
2022-01-02,Madurai,AB+,14,0,6,1,0.97,0
2022-01-02,Madurai,AB-,9,0,6,1,1.48,0
2022-01-02,Trichy,O+,7,0,6,1,1.29,0
2022-01-02,Trichy,O-,12,0,6,1,1.0,1
2022-01-02,Trichy,A+,9,0,6,1,1.21,0
2022-01-02,Trichy,A-,20,0,6,1,1.23,1
2022-01-02,Trichy,B+,5,0,6,1,1.09,1
2022-01-02,Trichy,B-,16,0,6,1,0.99,2
2022-01-02,Trichy,AB+,18,0,6,1,1.47,0
2022-01-02,Trichy,AB-,5,0,6,1,0.99,2
2022-01-02,Salem,O+,16,0,6,1,0.82,2
2022-01-02,Salem,O-,16,0,6,1,1.31,0
2022-01-02,Salem,A+,14,0,6,1,0.98,0
2022-01-02,Salem,A-,9,0,6,1,0.89,2
2022-01-02,Salem,B+,12,0,6,1,1.48,0
2022-01-02,Salem,B-,3,0,6,1,1.0,0
2022-01-02,Salem,AB+,5,0,6,1,1.43,0
2022-01-02,Salem,AB-,9,0,6,1,1.41,2
2022-01-03,Coimbatore,O+,1,0,0,1,1.41,0
2022-01-03,Coimbatore,O-,8,0,0,1,0.9,2
2022-01-03,Coimbatore,A+,6,0,0,1,0.97,0
2022-01-03,Coimbatore,A-,4,0,0,1,1.17,0
2022-01-03,Coimbatore,B+,6,0,0,1,1.21,0
2022-01-03,Coimbatore,B-,6,0,0,1,1.03,0
2022-01-03,Coimbatore,AB+,2,0,0,1,0.97,1
2022-01-03,Coimbatore,AB-,4,0,0,1,1.17,0
2022-01-03,Chennai,O+,7,0,0,1,1.27,0
2022-01-03,Chennai,O-,7,0,0,1,1.32,2
2022-01-03,Chennai,A+,6,0,0,1,1.06,1
2022-01-03,Chennai,A-,4,0,0,1,0.9,0
2022-01-03,Chennai,B+,8,0,0,1,1.31,0
2022-01-03,Chennai,B-,4,0,0,1,1.35,2
2022-01-03,Chennai,AB+,3,0,0,1,1.37,2
2022-01-03,Chennai,AB-,10,0,0,1,1.2,0
2022-01-03,Madurai,O+,8,0,0,1,0.9,2
2022-01-03,Madurai,O-,9,0,0,1,1.3,0
2022-01-03,Madurai,A+,5,0,0,1,1.08,0
2022-01-03,Madurai,A-,4,0,0,1,1.22,1
2022-01-03,Madurai,B+,5,0,0,1,1.12,1
2022-01-03,Madurai,B-,4,0,0,1,1.31,2
2022-01-03,Madurai,AB+,8,0,0,1,1.32,0
2022-01-03,Madurai,AB-,5,0,0,1,1.44,2
2022-01-03,Trichy,O+,5,0,0,1,1.35,1
2022-01-03,Trichy,O-,6,0,0,1,1.12,2
2022-01-03,Trichy,A+,3,0,0,1,0.92,0
2022-01-03,Trichy,A-,4,0,0,1,1.26,2
2022-01-03,Trichy,B+,6,0,0,1,1.02,1
2022-01-03,Trichy,B-,4,0,0,1,0.83,1
2022-01-03,Trichy,AB+,8,0,0,1,0.87,0
2022-01-03,Trichy,AB-,5,0,0,1,1.49,1
2022-01-03,Salem,O+,5,0,0,1,1.22,0
2022-01-03,Salem,O-,4,0,0,1,0.97,1
2022-01-03,Salem,A+,7,0,0,1,1.24,0
2022-01-03,Salem,A-,1,0,0,1,0.93,0
2022-01-03,Salem,B+,6,0,0,1,0.99,0
